Queue Size,Token Possession,Buffer Size,Threshold,Delta Buffer,Delta Threshold
1000,0,2100,10,2000,10
1000,0,2100,20,2000,10
1000,0,2100,30,1700,10
1000,0,2100,40,2000,0
1000,0,2100,50,1700,0
1000,0,2100,60,1700,-10
1100,0,2100,10,2000,10
1100,0,2100,20,2000,0
1100,0,2100,30,2000,10
1100,0,2100,40,2000,-10
1100,0,2100,50,2000,0
1100,0,2100,60,2000,-10
1200,0,2100,10,2000,0
1200,0,2100,20,2000,0
1200,0,2100,30,2000,0
1200,0,2100,40,2000,10
1200,0,2100,50,2000,10
1200,0,2100,60,2000,0
1300,0,2100,10,2000,0
1300,0,2100,20,2300,0
1300,0,2100,30,2000,-10
1300,0,2100,40,2000,-10
1300,0,2100,50,2000,10
1300,0,2100,60,2300,-10
1400,0,2100,10,2300,-10
1400,0,2100,20,2300,10
1400,0,2100,30,2300,-10
1400,0,2100,40,2300,10
1400,0,2100,50,2300,-10
1400,0,2100,60,2300,0
1500,0,2100,10,2300,10
1500,0,2100,20,2300,-10
1500,0,2100,30,2300,10
1500,0,2100,40,2300,10
1500,0,2100,50,2300,-10
1500,0,2100,60,2300,0
1600,0,2100,10,2300,0
1600,0,2100,20,2600,10
1600,0,2100,30,2300,10
1600,0,2100,40,2300,-10
1600,0,2100,50,2600,10
1600,0,2100,60,2300,-10
1700,0,2100,10,2600,10
1700,0,2100,20,2600,10
1700,0,2100,30,2600,0
1700,0,2100,40,2600,0
1700,0,2100,50,2600,-10
1700,0,2100,60,2600,-10
1800,0,2100,10,2600,-10
1800,0,2100,20,2600,-10
1800,0,2100,30,2600,10
1800,0,2100,40,2600,10
1800,0,2100,50,2600,10
1800,0,2100,60,2600,-10
1900,0,2100,10,2900,0
1900,0,2100,20,2600,0
1900,0,2100,30,2600,-10
1900,0,2100,40,2900,0
1900,0,2100,50,2600,0
1900,0,2100,60,2600,-10
2000,0,2100,10,2900,10
2000,0,2100,20,2900,0
2000,0,2100,30,2900,0
2000,0,2100,40,2900,0
